    I    J      U1        V1        W1        U2        V2        W2        U3        V3        W3        U4        V4        W4        A1
    2   12    -0.000     0.000    -0.002    -0.000    -0.000    -0.003     0.000     0.000     0.001     0.000    -0.000     0.005     0.000
    2   13    -0.000     0.000    -0.002    -0.000    -0.000    -0.002     0.000    -0.000     0.001     0.000     0.000     0.003     0.000
    3    1    -0.005     0.000    -0.048    -0.014     0.000    -0.154     0.006    -0.000     0.067     0.018    -0.000     0.195     0.060
    3    2    -0.004    -0.000    -0.044    -0.010     0.000    -0.104     0.003    -0.000     0.027     0.014    -0.000     0.154     0.033
    3    3    -0.003     0.000    -0.032    -0.006     0.000    -0.067     0.001    -0.000     0.012     0.010    -0.000     0.104     0.017
    3    4    -0.002    -0.000    -0.021    -0.004    -0.000    -0.044     0.001    -0.000     0.007     0.006    -0.000     0.067     0.009
    3    5    -0.001    -0.000    -0.013    -0.003     0.000    -0.029     0.000    -0.000     0.004     0.004     0.000     0.044     0.005
    3    6    -0.001     0.000    -0.009    -0.002    -0.000    -0.020     0.000     0.000     0.003     0.003    -0.000     0.029     0.003
    3    7    -0.001    -0.000    -0.006    -0.001     0.000    -0.014     0.000     0.000     0.002     0.002     0.000     0.020     0.002
    3    8    -0.000     0.000    -0.004    -0.001    -0.000    -0.010     0.000     0.000     0.001     0.001    -0.000     0.014     0.001
    3    9    -0.000    -0.000    -0.003    -0.001     0.000    -0.007     0.000     0.000     0.001     0.001     0.000     0.010     0.001
    3   10    -0.000     0.000    -0.002    -0.001    -0.000    -0.005     0.000     0.000     0.001     0.001    -0.000     0.007     0.001
    3   11    -0.000    -0.000    -0.002    -0.000     0.000    -0.004     0.000     0.000     0.001     0.001     0.000     0.005     0.000
    3   12    -0.000    -0.000    -0.001    -0.000     0.000    -0.003     0.000     0.000     0.000     0.000    -0.000     0.004     0.000
    3   13    -0.000     0.000    -0.001    -0.000    -0.000    -0.002     0.000     0.000     0.000     0.000    -0.000     0.003     0.000
    4    1    -0.006     0.000    -0.067    -0.012     0.000    -0.129    -0.001    -0.000    -0.013     0.026    -0.000     0.274     0.065
    4    2    -0.003     0.000    -0.027    -0.007     0.000    -0.072    -0.001    -0.000    -0.006     0.012    -0.000     0.129     0.025
    4    3    -0.001     0.000    -0.012    -0.004     0.000    -0.044    -0.000     0.000    -0.004     0.007    -0.000     0.072     0.011
    4    4    -0.001     0.000    -0.007    -0.003     0.000    -0.029    -0.000    -0.000    -0.002     0.004    -0.000     0.044     0.006
    4    5    -0.000     0.000    -0.004    -0.002    -0.000    -0.020    -0.000    -0.000    -0.002     0.003    -0.000     0.029     0.004
    4    6    -0.000    -0.000    -0.003    -0.001    -0.000    -0.014    -0.000     0.000    -0.001     0.002     0.000     0.020     0.002
    4    7    -0.000    -0.000    -0.002    -0.001    -0.000    -0.011    -0.000    -0.000    -0.001     0.001     0.000     0.014     0.001
    4    8    -0.000    -0.000    -0.001    -0.001    -0.000    -0.008    -0.000    -0.000    -0.001     0.001     0.000     0.011     0.001
    4    9    -0.000    -0.000    -0.001    -0.001    -0.000    -0.006    -0.000     0.000    -0.000     0.001     0.000     0.008     0.001
    4   10    -0.000    -0.000    -0.001    -0.000    -0.000    -0.005    -0.000    -0.000    -0.000     0.001     0.000     0.006     0.000
    4   11    -0.000    -0.000    -0.001    -0.000     0.000    -0.004    -0.000    -0.000    -0.000     0.000     0.000     0.005     0.000
    4   12    -0.000    -0.000    -0.000    -0.000    -0.000    -0.003    -0.000     0.000    -0.000     0.000    -0.000     0.004     0.000
    4   13    -0.000    -0.000    -0.000    -0.000    -0.000    -0.002    -0.000    -0.000    -0.000     0.000     0.000     0.003     0.000
    5    1     0.001     0.000     0.013     0.000    -0.006    -0.059    -0.000    -0.000    -0.000     0.000     0.008     0.068     0.021
    5    2     0.001     0.000     0.006     0.000    -0.005    -0.052    -0.000    -0.000    -0.000     0.000     0.006     0.059     0.014
    5    3     0.000    -0.000     0.004     0.000    -0.004    -0.046    -0.000    -0.000    -0.000     0.000     0.005     0.052     0.010
    5    4     0.000     0.000     0.002     0.000    -0.003    -0.041    -0.000    -0.000    -0.000     0.000     0.004     0.046     0.007
    5    5     0.000     0.000     0.002     0.000    -0.003    -0.037    -0.000    -0.000    -0.000     0.000     0.003     0.041     0.006
    5    6     0.000    -0.000     0.001     0.000    -0.002    -0.033    -0.000    -0.000    -0.000     0.000     0.003     0.037     0.004
    5    7     0.000     0.000     0.001     0.000    -0.002    -0.031    -0.000    -0.000    -0.000     0.000     0.002     0.033     0.004
    5    8     0.000     0.000     0.001     0.000    -0.002    -0.028    -0.000    -0.000    -0.000     0.000     0.002     0.031     0.003
    5    9     0.000    -0.000     0.000     0.000    -0.002    -0.026    -0.000    -0.000    -0.000     0.000     0.002     0.028     0.002
    5   10     0.000     0.000     0.000     0.000    -0.002    -0.024    -0.000    -0.000    -0.000     0.000     0.002     0.026     0.002
    5   11     0.000     0.000     0.000     0.000    -0.002    -0.023    -0.000    -0.000    -0.000     0.000     0.002     0.024     0.002
    5   12     0.000    -0.000     0.000     0.000    -0.001    -0.021    -0.000    -0.000    -0.000     0.000     0.002     0.023     0.002
    5   13     0.000     0.000     0.000     0.000    -0.001    -0.020    -0.000    -0.000    -0.000     0.000     0.001     0.021     0.001
    I    J      U1        V1        W1        U2        V2        W2        U3        V3        W3        U4        V4        W4        A1
    1    1    -0.000    -0.000    -0.004     0.001     0.000     0.009     0.001    -0.000     0.006    -0.001     0.000    -0.008     0.003
    1    2    -0.001     0.000    -0.005     0.001     0.000     0.008     0.001     0.000     0.010    -0.001    -0.000    -0.009     0.004
    1    3    -0.001     0.000    -0.009     0.000     0.000     0.005     0.002     0.000     0.019    -0.001    -0.000    -0.008     0.007
    1    4    -0.001     0.000    -0.015    -0.001    -0.000    -0.009     0.004     0.000     0.042    -0.000    -0.000    -0.005     0.013
    1    5    -0.002    -0.000    -0.026    -0.004     0.000    -0.047     0.008     0.000     0.089     0.001     0.000     0.009     0.024
    1    6    -0.004     0.000    -0.044    -0.009     0.000    -0.100     0.013     0.000     0.134     0.004    -0.000     0.047     0.037
    1    7    -0.006     0.000    -0.062    -0.010    -0.000    -0.104     0.010     0.000     0.101     0.009    -0.000     0.100     0.036
    1    8    -0.006     0.000    -0.059    -0.007     0.000    -0.071     0.005     0.000     0.049     0.010     0.000     0.104     0.022
    1    9    -0.004     0.000    -0.041    -0.004    -0.000    -0.042     0.002     0.000     0.023     0.007    -0.000     0.071     0.011
    1   10    -0.002    -0.000    -0.024    -0.002    -0.000    -0.024     0.001    -0.000     0.011     0.004     0.000     0.042     0.005
    1   11    -0.001    -0.000    -0.013    -0.001     0.000    -0.015     0.001    -0.000     0.006     0.002     0.000     0.024     0.003
    1   12    -0.001    -0.000    -0.008    -0.001     0.000    -0.009     0.000    -0.000     0.004     0.001    -0.000     0.015     0.001
    1   13    -0.000     0.000    -0.005    -0.001    -0.000    -0.006     0.000    -0.000     0.002     0.001    -0.000     0.009     0.001
    2    1    -0.001     0.000    -0.006     0.003     0.000     0.031     0.001    -0.000     0.007    -0.002    -0.000    -0.024     0.009
    2    2    -0.001    -0.000    -0.010     0.004    -0.000     0.041     0.002     0.000     0.019    -0.003    -0.000    -0.031     0.019
    2    3    -0.002    -0.000    -0.019     0.004     0.000     0.041     0.006    -0.000     0.068    -0.004     0.000    -0.041     0.048
    2    4    -0.004    -0.000    -0.042    -0.015    -0.000    -0.158     0.039     0.000     0.416    -0.004    -0.000    -0.041     0.176
    2    5    -0.008    -0.000    -0.089    -0.040     0.000    -0.423     0.067    -0.000     0.710     0.015     0.000     0.158     0.358
    2    6    -0.013    -0.000    -0.134    -0.023     0.000    -0.249     0.013    -0.000     0.137     0.040    -0.000     0.423     0.179
    2    7    -0.010    -0.000    -0.101    -0.011    -0.000    -0.117     0.003     0.000     0.030     0.023    -0.000     0.249     0.061
    2    8    -0.005    -0.000    -0.049    -0.005    -0.000    -0.057     0.001    -0.000     0.011     0.011     0.000     0.117     0.021
    2    9    -0.002    -0.000    -0.023    -0.003     0.000    -0.031     0.000     0.000     0.005     0.005     0.000     0.057     0.009
    2   10    -0.001     0.000    -0.011    -0.002     0.000    -0.018     0.000    -0.000     0.003     0.003    -0.000     0.031     0.004
    2   11    -0.001     0.000    -0.006    -0.001     0.000    -0.011     0.000     0.000     0.002     0.002    -0.000     0.018     0.002
    2   12    -0.000     0.000    -0.004    -0.001    -0.000    -0.007     0.000     0.000     0.001     0.001    -0.000     0.011     0.001
    2   13    -0.000     0.000    -0.002    -0.000    -0.000    -0.005     0.000    -0.000     0.001     0.001     0.000     0.007     0.001
    3    1    -0.001     0.000    -0.007     0.017     0.000     0.183    -0.003    -0.000    -0.036    -0.009    -0.000    -0.095     0.045
    3    2    -0.002    -0.000    -0.019     0.048     0.000     0.509    -0.013    -0.000    -0.144    -0.017    -0.000    -0.183     0.164
    3    3    -0.006     0.000    -0.068     0.254     0.002     2.716    -0.054    -0.000    -0.576    -0.048    -0.000    -0.509     1.570
    3    4    -0.039    -0.000    -0.416    -0.251     0.001    -2.687    -0.036    -0.000    -0.389    -0.254    -0.002    -2.716    -6.235
    3    5    -0.067     0.000    -0.710    -0.039     0.000    -0.415    -0.008    -0.000    -0.082     0.251    -0.001     2.687     1.487
    3    6    -0.013     0.000    -0.137    -0.012     0.000    -0.128    -0.002     0.000    -0.024     0.039    -0.000     0.415     0.126
    3    7    -0.003    -0.000    -0.030    -0.006     0.000    -0.059    -0.001     0.000    -0.010     0.012    -0.000     0.128     0.030
    3    8    -0.001     0.000    -0.011    -0.003    -0.000    -0.032    -0.000     0.000    -0.005     0.006    -0.000     0.059     0.011
    3    9    -0.000    -0.000    -0.005    -0.002     0.000    -0.020    -0.000     0.000    -0.003     0.003     0.000     0.032     0.005
    3   10    -0.000     0.000    -0.003    -0.001    -0.000    -0.013    -0.000     0.000    -0.002     0.002    -0.000     0.020     0.003
    3   11    -0.000    -0.000    -0.002    -0.001     0.000    -0.008    -0.000     0.000    -0.001     0.001     0.000     0.013     0.001
    3   12    -0.000    -0.000    -0.001    -0.001     0.000    -0.006    -0.000     0.000    -0.001     0.001    -0.000     0.008     0.001
    3   13    -0.000     0.000    -0.001    -0.000    -0.000    -0.004    -0.000     0.000    -0.001     0.001    -0.000     0.006     0.001
    4    1     0.003     0.000     0.036     0.026     0.000     0.275    -0.005    -0.000    -0.053    -0.017    -0.000    -0.181     0.077
    4    2     0.013     0.000     0.144     0.034     0.000     0.363    -0.006    -0.000    -0.063    -0.026    -0.000    -0.275     0.169
    4    3     0.054     0.000     0.576     0.013     0.000     0.136    -0.005     0.000    -0.057    -0.034    -0.000    -0.363     0.293
    4    4     0.036     0.000     0.389    -0.004     0.000    -0.044    -0.004    -0.000    -0.041    -0.013    -0.000    -0.136     0.169
    4    5     0.008     0.000     0.082    -0.004    -0.000    -0.046    -0.002    -0.000    -0.026     0.004    -0.000     0.044     0.054
    4    6     0.002    -0.000     0.024    -0.003    -0.000    -0.034    -0.002     0.000    -0.016     0.004     0.000     0.046     0.021
    4    7     0.001    -0.000     0.010    -0.002    -0.000    -0.023    -0.001    -0.000    -0.010     0.003     0.000     0.034     0.010
    4    8     0.000    -0.000     0.005    -0.002    -0.000    -0.017    -0.001    -0.000    -0.007     0.002     0.000     0.023     0.005
    4    9     0.000    -0.000     0.003    -0.001    -0.000    -0.012    -0.000     0.000    -0.005     0.002     0.000     0.017     0.003
    4   10     0.000    -0.000     0.002    -0.001    -0.000    -0.009    -0.000    -0.000    -0.003     0.001     0.000     0.012     0.002
    4   11     0.000    -0.000     0.001    -0.001     0.000    -0.006    -0.000    -0.000    -0.002     0.001     0.000     0.009     0.001
    4   12     0.000    -0.000     0.001    -0.000    -0.000    -0.005    -0.000     0.000    -0.002     0.001    -0.000     0.006     0.001
    4   13     0.000    -0.000     0.001    -0.000    -0.000    -0.003    -0.000    -0.000    -0.001     0.000     0.000     0.005     0.000
    5    1     0.005     0.000     0.053     0.000    -0.008     0.076    -0.000    -0.000    -0.000     0.000     0.006    -0.100     0.030
    5    2     0.006     0.000     0.063     0.000    -0.009     0.043    -0.000    -0.000    -0.000     0.000     0.008    -0.076     0.030
    5    3     0.005    -0.000     0.057     0.000    -0.009     0.012    -0.000    -0.000    -0.000     0.000     0.009    -0.043     0.026
    5    4     0.004     0.000     0.041     0.000    -0.007    -0.009    -0.000    -0.000    -0.000     0.000     0.009    -0.012     0.020
    5    5     0.002     0.000     0.026     0.000    -0.006    -0.020    -0.000    -0.000    -0.000     0.000     0.007     0.009     0.015
    5    6     0.002    -0.000     0.016     0.000    -0.005    -0.024    -0.000    -0.000    -0.000     0.000     0.006     0.020     0.011
    5    7     0.001     0.000     0.010     0.000    -0.004    -0.026    -0.000    -0.000    -0.000     0.000     0.005     0.024     0.009
    5    8     0.001     0.000     0.007     0.000    -0.004    -0.026    -0.000    -0.000    -0.000     0.000     0.004     0.026     0.007
    5    9     0.000    -0.000     0.005     0.000    -0.003    -0.026    -0.000    -0.000    -0.000     0.000     0.004     0.026     0.005
    5   10     0.000     0.000     0.003     0.000    -0.003    -0.025    -0.000    -0.000    -0.000     0.000     0.003     0.026     0.004
    5   11     0.000     0.000     0.002     0.000    -0.003    -0.024    -0.000    -0.000    -0.000     0.000     0.003     0.025     0.003
    5   12     0.000    -0.000     0.002     0.000    -0.002    -0.022    -0.000    -0.000    -0.000     0.000     0.003     0.024     0.003
    5   13     0.000     0.000     0.001     0.000    -0.002    -0.021    -0.000    -0.000    -0.000     0.000     0.002     0.022     0.002
    I    J      U1        V1        W1        U2        V2        W2        U3        V3        W3        U4        V4        W4        A1
    1    1    -0.001    -0.000    -0.007    -0.001     0.000    -0.012     0.001    -0.000     0.014     0.001     0.000     0.008     0.002
    1    2    -0.001     0.000    -0.009    -0.001     0.000    -0.016     0.001     0.000     0.016     0.001    -0.000     0.012     0.003
    1    3    -0.001     0.000    -0.011    -0.002     0.000    -0.019     0.002     0.000     0.017     0.001    -0.000     0.016     0.003
    1    4    -0.001     0.000    -0.012    -0.002    -0.000    -0.020     0.002     0.000     0.016     0.002    -0.000     0.019     0.003
    1    5    -0.001    -0.000    -0.012    -0.002     0.000    -0.020     0.001     0.000     0.014     0.002     0.000     0.020     0.003
    1    6    -0.001     0.000    -0.012    -0.002     0.000    -0.017     0.001     0.000     0.011     0.002    -0.000     0.020     0.002
    1    7    -0.001     0.000    -0.010    -0.001    -0.000    -0.014     0.001     0.000     0.009     0.002    -0.000     0.017     0.002
    1    8    -0.001     0.000    -0.009    -0.001     0.000    -0.011     0.001     0.000     0.007     0.001     0.000     0.014     0.001
    1    9    -0.001     0.000    -0.007    -0.001    -0.000    -0.009     0.000     0.000     0.005     0.001    -0.000     0.011     0.001
    1   10    -0.001    -0.000    -0.005    -0.001    -0.000    -0.006     0.000    -0.000     0.004     0.001     0.000     0.009     0.001
    1   11    -0.000    -0.000    -0.004    -0.000     0.000    -0.005     0.000    -0.000     0.003     0.001     0.000     0.006     0.000
    1   12    -0.000    -0.000    -0.003    -0.000     0.000    -0.004     0.000    -0.000     0.002     0.000    -0.000     0.005     0.000
    1   13    -0.000     0.000    -0.003    -0.000    -0.000    -0.003     0.000    -0.000     0.002     0.000    -0.000     0.004     0.000
    2    1    -0.001     0.000    -0.014    -0.003     0.000    -0.032     0.003    -0.000     0.029     0.002    -0.000     0.024     0.007
    2    2    -0.001    -0.000    -0.016    -0.003    -0.000    -0.036     0.003     0.000     0.027     0.003    -0.000     0.032     0.007
    2    3    -0.002    -0.000    -0.017    -0.003     0.000    -0.035     0.002    -0.000     0.022     0.003     0.000     0.036     0.006
    2    4    -0.002    -0.000    -0.016    -0.003    -0.000    -0.031     0.002     0.000     0.016     0.003    -0.000     0.035     0.005
    2    5    -0.001    -0.000    -0.014    -0.002     0.000    -0.025     0.001    -0.000     0.011     0.003     0.000     0.031     0.003
    2    6    -0.001    -0.000    -0.011    -0.002     0.000    -0.019     0.001    -0.000     0.008     0.002    -0.000     0.025     0.002
    2    7    -0.001    -0.000    -0.009    -0.001    -0.000    -0.014     0.001     0.000     0.006     0.002    -0.000     0.019     0.002
    2    8    -0.001    -0.000    -0.007    -0.001    -0.000    -0.011     0.000    -0.000     0.004     0.001     0.000     0.014     0.001
    2    9    -0.000    -0.000    -0.005    -0.001     0.000    -0.008     0.000     0.000     0.003     0.001     0.000     0.011     0.001
    2   10    -0.000     0.000    -0.004    -0.001     0.000    -0.006     0.000    -0.000     0.002     0.001    -0.000     0.008     0.001
    2   11    -0.000     0.000    -0.003    -0.000     0.000    -0.004     0.000     0.000     0.002     0.001    -0.000     0.006     0.000
    2   12    -0.000     0.000    -0.002    -0.000    -0.000    -0.003     0.000     0.000     0.001     0.000    -0.000     0.004     0.000
    2   13    -0.000     0.000    -0.002    -0.000    -0.000    -0.002     0.000    -0.000     0.001     0.000     0.000     0.003     0.000
    3    1    -0.003     0.000    -0.029    -0.008     0.000    -0.086     0.004    -0.000     0.043     0.009    -0.000     0.095     0.023
    3    2    -0.003    -0.000    -0.027    -0.006     0.000    -0.067     0.002    -0.000     0.024     0.008    -0.000     0.086     0.015
    3    3    -0.002     0.000    -0.022    -0.005     0.000    -0.049     0.001    -0.000     0.013     0.006    -0.000     0.067     0.010
    3    4    -0.002    -0.000    -0.016    -0.003     0.000    -0.035     0.001    -0.000     0.008     0.005    -0.000     0.049     0.006
    3    5    -0.001     0.000    -0.011    -0.002     0.000    -0.025     0.000    -0.000     0.005     0.003    -0.000     0.035     0.004
    3    6    -0.001     0.000    -0.008    -0.002     0.000    -0.018     0.000     0.000     0.003     0.002    -0.000     0.025     0.002
    3    7    -0.001    -0.000    -0.006    -0.001     0.000    -0.013     0.000     0.000     0.002     0.002    -0.000     0.018     0.002
    3    8    -0.000     0.000    -0.004    -0.001    -0.000    -0.009     0.000     0.000     0.002     0.001    -0.000     0.013     0.001
    3    9    -0.000    -0.000    -0.003    -0.001     0.000    -0.007     0.000     0.000     0.001     0.001     0.000     0.009     0.001
    3   10    -0.000     0.000    -0.002    -0.000    -0.000    -0.005     0.000     0.000     0.001     0.001    -0.000     0.007     0.000
    3   11    -0.000    -0.000    -0.002    -0.000     0.000    -0.004     0.000     0.000     0.001     0.000     0.000     0.005     0.000
    3   12    -0.000    -0.000    -0.001    -0.000     0.000    -0.003     0.000     0.000     0.001     0.000    -0.000     0.004     0.000
    3   13    -0.000     0.000    -0.001    -0.000    -0.000    -0.002     0.000     0.000     0.000     0.000    -0.000     0.003     0.000
    4    1    -0.004     0.000    -0.043    -0.010     0.000    -0.103    -0.000    -0.000    -0.000     0.017    -0.000     0.181     0.035
    4    2    -0.002     0.000    -0.024    -0.006     0.000    -0.063    -0.000    -0.000    -0.000     0.010    -0.000     0.103     0.016
    4    3    -0.001     0.000    -0.013    -0.004     0.000    -0.041    -0.000     0.000    -0.000     0.006    -0.000     0.063     0.009
    4    4    -0.001     0.000    -0.008    -0.003     0.000    -0.028    -0.000    -0.000    -0.000     0.004    -0.000     0.041     0.005
    4    5    -0.000     0.000    -0.005    -0.002    -0.000    -0.019    -0.000    -0.000    -0.000     0.003    -0.000     0.028     0.003
    4    6    -0.000    -0.000    -0.003    -0.001    -0.000    -0.014    -0.000     0.000    -0.000     0.002     0.000     0.019     0.002
    4    7    -0.000    -0.000    -0.002    -0.001    -0.000    -0.010    -0.000    -0.000    -0.000     0.001     0.000     0.014     0.001
    4    8    -0.000    -0.000    -0.002    -0.001    -0.000    -0.008    -0.000    -0.000    -0.000     0.001     0.000     0.010     0.001
    4    9    -0.000    -0.000    -0.001    -0.001    -0.000    -0.006    -0.000     0.000    -0.000     0.001     0.000     0.008     0.001
    4   10    -0.000    -0.000    -0.001    -0.000    -0.000    -0.005    -0.000    -0.000    -0.000     0.001     0.000     0.006     0.000
    4   11    -0.000    -0.000    -0.001    -0.000     0.000    -0.003    -0.000    -0.000    -0.000     0.000     0.000     0.005     0.000
    4   12    -0.000    -0.000    -0.001    -0.000    -0.000    -0.003    -0.000     0.000    -0.000     0.000    -0.000     0.003     0.000
    4   13    -0.000    -0.000    -0.000    -0.000    -0.000    -0.002    -0.000    -0.000    -0.000     0.000     0.000     0.003     0.000
    5    1     0.000     0.000     0.000     0.000    -0.004    -0.078    -0.000    -0.000    -0.000     0.000     0.006     0.100     0.022
    5    2     0.000     0.000     0.000     0.000    -0.004    -0.064    -0.000    -0.000    -0.000     0.000     0.004     0.078     0.014
    5    3     0.000    -0.000     0.000     0.000    -0.003    -0.054    -0.000    -0.000    -0.000     0.000     0.004     0.064     0.010
    5    4     0.000     0.000     0.000     0.000    -0.003    -0.047    -0.000    -0.000    -0.000     0.000     0.003     0.054     0.007
    5    5     0.000     0.000     0.000     0.000    -0.002    -0.042    -0.000    -0.000    -0.000     0.000     0.003     0.047     0.006
    5    6     0.000    -0.000     0.000     0.000    -0.002    -0.037    -0.000    -0.000    -0.000     0.000     0.002     0.042     0.004
    5    7     0.000     0.000     0.000     0.000    -0.002    -0.034    -0.000    -0.000    -0.000     0.000     0.002     0.037     0.004
    5    8     0.000     0.000     0.000     0.000    -0.002    -0.031    -0.000    -0.000    -0.000     0.000     0.002     0.034     0.003
    5    9     0.000    -0.000     0.000     0.000    -0.002    -0.028    -0.000    -0.000    -0.000     0.000     0.002     0.031     0.002
    5   10     0.000     0.000     0.000     0.000    -0.001    -0.026    -0.000    -0.000    -0.000     0.000     0.002     0.028     0.002
    5   11     0.000     0.000     0.000     0.000    -0.001    -0.024    -0.000    -0.000    -0.000     0.000     0.001     0.026     0.002
    5   12     0.000    -0.000     0.000     0.000    -0.001    -0.023    -0.000    -0.000    -0.000     0.000     0.001     0.024     0.002
    5   13     0.000     0.000     0.000     0.000    -0.001    -0.021    -0.000    -0.000    -0.000     0.000     0.001     0.023     0.001
    I    J      U1        V1        W1        U2        V2        W2        U3        V3        W3        U4        V4        W4        A1
    1    1    -0.000    -0.000    -0.002     0.001     0.000     0.008     0.000    -0.000     0.004    -0.001     0.000    -0.007     0.002
    1    2    -0.000     0.000    -0.004     0.001     0.000     0.009     0.001    -0.000     0.006    -0.001    -0.000    -0.008     0.003
    1    3    -0.001     0.000    -0.006     0.001     0.000     0.009     0.001    -0.000     0.011    -0.001    -0.000    -0.009     0.005
    1    4    -0.001     0.000    -0.010     0.000     0.000     0.005     0.002    -0.000     0.021    -0.001    -0.000    -0.009     0.008
    1    5    -0.002    -0.000    -0.017    -0.001     0.000    -0.010     0.004    -0.000     0.048    -0.000    -0.000    -0.005     0.015
    1    6    -0.003     0.000    -0.031    -0.005     0.000    -0.056     0.010    -0.000     0.106     0.001    -0.000     0.010     0.029
    1    7    -0.005     0.000    -0.053    -0.010    -0.000    -0.112     0.014    -0.000     0.152     0.005    -0.000     0.056     0.043
    1    8    -0.007     0.000    -0.072    -0.010     0.000    -0.104     0.010    -0.000     0.102     0.010     0.000     0.112     0.038
    1    9    -0.006    -0.000    -0.063    -0.006     0.000    -0.065     0.004    -0.000     0.045     0.010    -0.000     0.104     0.022
    1   10    -0.004     0.000    -0.039    -0.003     0.000    -0.037     0.002    -0.000     0.020     0.006    -0.000     0.065     0.010
    1   11    -0.002     0.000    -0.021    -0.002     0.000    -0.021     0.001    -0.000     0.010     0.003    -0.000     0.037     0.005
    1   12    -0.001     0.000    -0.012    -0.001     0.000    -0.012     0.001    -0.000     0.006     0.002    -0.000     0.021     0.002
    1   13    -0.001     0.000    -0.007    -0.001    -0.000    -0.007     0.000    -0.000     0.003     0.001    -0.000     0.012     0.001
    2    1    -0.000     0.000    -0.004     0.002     0.000     0.024     0.000    -0.000     0.004    -0.002    -0.000    -0.019     0.005
    2    2    -0.001     0.000    -0.006     0.003    -0.000     0.032     0.001     0.000     0.007    -0.002    -0.000    -0.024     0.009
    2    3    -0.001     0.000    -0.011     0.004     0.000     0.043     0.002    -0.000     0.019    -0.003     0.000    -0.032     0.019
    2    4    -0.002     0.000    -0.021     0.004     0.000     0.044     0.007     0.000     0.071    -0.004    -0.000    -0.043     0.052
    2    5    -0.004     0.000    -0.048    -0.017     0.000    -0.186     0.045    -0.000     0.479    -0.004    -0.000    -0.044     0.202
    2    6    -0.010     0.000    -0.106    -0.041     0.000    -0.439     0.071    -0.000     0.756     0.017    -0.000     0.186     0.399
    2    7    -0.014     0.000    -0.152    -0.022     0.000    -0.235     0.012    -0.000     0.126     0.041    -0.000     0.439     0.178
    2    8    -0.010     0.000    -0.102    -0.010     0.000    -0.105     0.003    -0.000     0.027     0.022    -0.000     0.235     0.056
    2    9    -0.004     0.000    -0.045    -0.005     0.000    -0.050     0.001     0.000     0.010     0.010    -0.000     0.105     0.019
    2   10    -0.002     0.000    -0.020    -0.003     0.000    -0.027     0.000    -0.000     0.004     0.005    -0.000     0.050     0.008
    2   11    -0.001     0.000    -0.010    -0.001     0.000    -0.016     0.000     0.000     0.002     0.003    -0.000     0.027     0.003
    2   12    -0.001     0.000    -0.006    -0.001    -0.000    -0.010     0.000     0.000     0.001     0.001    -0.000     0.016     0.002
    2   13    -0.000     0.000    -0.003    -0.001    -0.000    -0.006     0.000    -0.000     0.001     0.001     0.000     0.010     0.001
    3    1    -0.000     0.000    -0.004     0.008     0.000     0.090    -0.001    -0.000    -0.012    -0.005    -0.000    -0.056     0.018
    3    2    -0.001    -0.000    -0.007     0.016     0.000     0.172    -0.003    -0.000    -0.033    -0.008    -0.000    -0.090     0.043
    3    3    -0.002     0.000    -0.019     0.045     0.000     0.478    -0.013    -0.000    -0.135    -0.016    -0.000    -0.172     0.154
    3    4    -0.007    -0.000    -0.071     0.251     0.002     2.687    -0.058    -0.000    -0.618    -0.045    -0.000    -0.478     1.527
    3    5    -0.045     0.000    -0.479    -0.249     0.001    -2.652    -0.042    -0.000    -0.446    -0.251    -0.002    -2.687    -6.291
    3    6    -0.071     0.000    -0.756    -0.036     0.000    -0.382    -0.008     0.000    -0.086     0.249    -0.001     2.652     1.434
    3    7    -0.012     0.000    -0.126    -0.011     0.000    -0.118    -0.002     0.000    -0.024     0.036    -0.000     0.382     0.116
    3    8    -0.003     0.000    -0.027    -0.005     0.000    -0.054    -0.001     0.000    -0.009     0.011    -0.000     0.118     0.028
    3    9    -0.001    -0.000    -0.010    -0.003     0.000    -0.029    -0.000     0.000    -0.005     0.005    -0.000     0.054     0.010
    3   10    -0.000     0.000    -0.004    -0.002    -0.000    -0.018    -0.000     0.000    -0.003     0.003    -0.000     0.029     0.005
    3   11    -0.000    -0.000    -0.002    -0.001     0.000    -0.011    -0.000     0.000    -0.002     0.002     0.000     0.018     0.002
    3   12    -0.000    -0.000    -0.001    -0.001     0.000    -0.007    -0.000     0.000    -0.001     0.001    -0.000     0.011     0.001
    3   13    -0.000     0.000    -0.001    -0.000    -0.000    -0.005    -0.000     0.000    -0.001     0.001    -0.000     0.007     0.001
    4    1     0.001     0.000     0.012     0.016     0.000     0.175    -0.003    -0.000    -0.037    -0.011    -0.000    -0.114     0.036
    4    2     0.003     0.000     0.033     0.026     0.000     0.274    -0.005    -0.000    -0.057    -0.016    -0.000    -0.175     0.076
    4    3     0.013     0.000     0.135     0.036     0.000     0.384    -0.007     0.000    -0.071    -0.026    -0.000    -0.274     0.174
    4    4     0.058     0.000     0.618     0.015     0.000     0.158    -0.006    -0.000    -0.066    -0.036    -0.000    -0.384     0.328
    4    5     0.042     0.000     0.446    -0.005    -0.000    -0.048    -0.004    -0.000    -0.046    -0.015    -0.000    -0.158     0.194
    4    6     0.008    -0.000     0.086    -0.005    -0.000    -0.048    -0.003     0.000    -0.028     0.005     0.000     0.048     0.058
    4    7     0.002    -0.000     0.024    -0.003    -0.000    -0.034    -0.002    -0.000    -0.017     0.005     0.000     0.048     0.021
