    I    J      U1        V1        W1        U2        V2        W2        U3        V3        W3        U4        V4        W4        A1
    4   11     0.000    -0.000     0.001    -0.000     0.000    -0.001    -0.000    -0.000    -0.001     0.000     0.000     0.002     0.000
    4   12     0.000    -0.000     0.001    -0.000    -0.000    -0.001    -0.000     0.000    -0.001     0.000    -0.000     0.001     0.000
    4   13     0.000    -0.000     0.001    -0.000    -0.000    -0.001    -0.000    -0.000    -0.001     0.000     0.000     0.001     0.000
    5    1     0.000     0.000     0.005     0.000    -0.003    -0.001    -0.000    -0.000    -0.000     0.000     0.003    -0.001     0.003
    5    2     0.000     0.000     0.005     0.000    -0.003    -0.003    -0.000    -0.000    -0.000     0.000     0.003     0.001     0.002
    5    3     0.000    -0.000     0.004     0.000    -0.003    -0.005    -0.000    -0.000    -0.000     0.000     0.003     0.003     0.002
    5    4     0.000     0.000     0.003     0.000    -0.002    -0.006    -0.000    -0.000    -0.000     0.000     0.003     0.005     0.002
    5    5     0.000     0.000     0.003     0.000    -0.002    -0.007    -0.000    -0.000    -0.000     0.000     0.002     0.006     0.002
    5    6     0.000    -0.000     0.002     0.000    -0.002    -0.008    -0.000    -0.000    -0.000     0.000     0.002     0.007     0.002
    5    7     0.000     0.000     0.002     0.000    -0.002    -0.009    -0.000    -0.000    -0.000     0.000     0.002     0.008     0.001
    5    8     0.000     0.000     0.002     0.000    -0.002    -0.009    -0.000    -0.000    -0.000     0.000     0.002     0.009     0.001
    5    9     0.000    -0.000     0.001     0.000    -0.002    -0.009    -0.000    -0.000    -0.000     0.000     0.002     0.009     0.001
    5   10     0.000     0.000     0.001     0.000    -0.002    -0.009    -0.000    -0.000    -0.000     0.000     0.002     0.009     0.001
    5   11     0.000     0.000     0.001     0.000    -0.002    -0.009    -0.000    -0.000    -0.000     0.000     0.002     0.009     0.001
    5   12     0.000    -0.000     0.001     0.000    -0.001    -0.009    -0.000    -0.000    -0.000     0.000     0.002     0.009     0.001
    5   13     0.000     0.000     0.001     0.000    -0.001    -0.009    -0.000    -0.000    -0.000     0.000     0.001     0.009     0.001
    I    J      U1        V1        W1        U2        V2        W2        U3        V3        W3        U4        V4        W4        A1
    1    1    -0.026    -0.000    -0.282    -0.063    -0.000    -0.677    -0.007     0.000    -0.073     0.258     0.001     2.752     1.727
    1    2    -0.024    -0.000    -0.256    -0.019    -0.000    -0.201    -0.001    -0.000    -0.011     0.063     0.000     0.677     0.210
    1    3    -0.007    -0.000    -0.076    -0.007    -0.000    -0.078    -0.000    -0.000    -0.003     0.019     0.000     0.201     0.044
    1    4    -0.002    -0.000    -0.024    -0.004     0.000    -0.039    -0.000    -0.000    -0.002     0.007     0.000     0.078     0.014
    1    5    -0.001     0.000    -0.010    -0.002    -0.000    -0.022    -0.000    -0.000    -0.001     0.004    -0.000     0.039     0.006
    1    6    -0.000    -0.000    -0.005    -0.001    -0.000    -0.014    -0.000    -0.000    -0.000     0.002     0.000     0.022     0.003
    1    7    -0.000    -0.000    -0.003    -0.001     0.000    -0.009    -0.000    -0.000    -0.000     0.001     0.000     0.014     0.002
    1    8    -0.000    -0.000    -0.002    -0.001     0.000    -0.007    -0.000    -0.000    -0.000     0.001    -0.000     0.009     0.001
    1    9    -0.000     0.000    -0.001    -0.000    -0.000    -0.005    -0.000     0.000    -0.000     0.001    -0.000     0.007     0.001
    1   10    -0.000    -0.000    -0.001    -0.000    -0.000    -0.003    -0.000    -0.000    -0.000     0.000     0.000     0.005     0.000
    1   11    -0.000    -0.000    -0.001    -0.000     0.000    -0.002    -0.000    -0.000    -0.000     0.000     0.000     0.003     0.000
    1   12    -0.000    -0.000    -0.000    -0.000     0.000    -0.002    -0.000    -0.000    -0.000     0.000    -0.000     0.002     0.000
    1   13    -0.000     0.000    -0.000    -0.000    -0.000    -0.001    -0.000    -0.000    -0.000     0.000    -0.000     0.002     0.000
    2    1     0.007    -0.000     0.073    -0.006     0.000    -0.065    -0.002     0.000    -0.022     0.011     0.000     0.119     0.105
    2    2     0.001     0.000     0.011    -0.004     0.000    -0.038    -0.001    -0.000    -0.012     0.006    -0.000     0.065     0.026
