    i    j    Gamma(i,j)
    1    1     0.08774
    2    1     0.06063
    3    1     0.05561
    4    1     0.05231
    5    1     0.04759
    6    1     0.04176
    7    1     0.03750
    8    1     0.03336
    9    1     0.02880
   10    1     0.02329
   11    1     0.01572
    1    2     0.09250
    2    2     0.06293
    3    2     0.05727
    4    2     0.05362
    5    2     0.04867
    6    2     0.04267
    7    2     0.03827
    8    2     0.03400
    9    2     0.02932
   10    2     0.02368
   11    2     0.01597
    1    3     0.09316
    2    3     0.06325
    3    3     0.05749
    4    3     0.05380
    5    3     0.04882
    6    3     0.04279
    7    3     0.03837
    8    3     0.03409
    9    3     0.02939
   10    3     0.02374
   11    3     0.01601
    1    4     0.09250
    2    4     0.06293
    3    4     0.05727
    4    4     0.05362
    5    4     0.04867
    6    4     0.04267
    7    4     0.03827
    8    4     0.03400
    9    4     0.02932
   10    4     0.02368
   11    4     0.01597
    1    5     0.08774
    2    5     0.06063
    3    5     0.05561
    4    5     0.05231
    5    5     0.04759
    6    5     0.04176
    7    5     0.03750
    8    5     0.03336
    9    5     0.02880
   10    5     0.02329
   11    5     0.01572
