x,y
0.0000467, -1.61
0.000527, -1.25
0.000954, -5.40
0.00155, -0.0229
0.00203, -0.429
0.00209, -0.676
0.00386, -0.996
0.00840, -5.10
0.00904, 0.207
0.0121, -4.71
0.0128, 0.391
0.0149, -4.38
0.0204, 0.743
0.0254, -4.21
0.0330, -3.76
0.0330, -3.92
0.0338, 0.866
0.0348, -3.41
0.0400, -3.18
0.0501, -2.86
0.0526, 0.924
0.0620, -2.58
0.0789, -2.27
0.0900, 0.782
0.103, -1.96
0.123, -1.78
0.128, 0.653
0.165, 0.566
0.175, -1.37
0.203, 0.498
0.213, -1.15
0.239, 0.436
0.250, -0.988
0.276, 0.393
0.287, -0.849
0.314, 0.352
0.325, -0.731
0.352, 0.323
0.362, -0.610
0.384, -0.513
0.389, 0.296
0.408, -0.454
0.426, 0.280
0.436, -0.375
0.465, -0.299
0.470, 0.257
0.491, -0.268
0.523, 0.242
0.537, -0.146
0.562, 0.225
0.578, -0.0690
0.604, 0.222
0.622, -0.0230
0.643, 0.207
0.671, 0.0230
0.690, 0.207
0.731, 0.192
0.748, 0.0383
0.773, 0.0762
0.777, 0.176
0.810, 0.0987
0.819, 0.176
0.847, 0.0795
0.861, 0.161
0.885, 0.0804
0.903, 0.161
0.922, 0.0717
0.939, 0.146
0.962, -0.0230
0.991, 0.0489
