x,y
0.00, -6.19
0.00769, 0.160
0.0103, -5.13
0.0256, -3.66
0.0282, 0.997
0.0462, -3.41
0.0513, 0.948
0.0718, -3.05
0.0821, 0.799
0.100, -2.72
0.123, -2.54
0.128, 0.676
0.149, -2.39
0.156, 0.577
0.182, -2.21
0.208, 0.530
0.215, -2.05
0.241, 0.507
0.246, -1.92
0.269, 0.509
0.282, -1.82
0.305, 0.411
0.318, -1.66
0.349, -1.51
0.377, 0.391
0.390, -1.36
0.426, -1.20
0.446, 0.345
0.459, -1.10
0.495, -0.993
0.518, 0.300
0.531, -0.863
0.567, -0.759
0.587, 0.230
0.597, -0.656
0.631, -0.603
0.659, -0.524
0.662, 0.210
0.721, -0.469
0.764, 0.142
0.790, -0.388
0.818, 0.146
0.887, -0.381
0.910, 0.000974
0.931, -0.377
0.951, -0.376
0.972, -0.374
0.987, -0.170
0.987, -0.373
1.00, -0.321
